Country,PPCG_Donor_Id,Matching_WGS_Sample,WGS_Local_Sample_Id,PPCG_Meth_Sample_ID,Platform,Meth_Local_Sample_ID,Meth_Sample_Type,MetastaticSite,Meth_Distance_To_WGS_Sample,Meth_RNASeq_Annot,idat_grn_filename,idat_red_filename,Date_of_scan_or_Sequencing,Comments,Is_FFPE
UK,PPCG0078,PPCG0078a_DNA,PD7445a,PPCG0078q_450k,450k,TB08.970_V2_T8,TUM,,NEAR-MM,NA,7973219133_R05C02_Grn.idat,7973219133_R05C02_Red.idat,,,
UK,PPCG0078,PPCG0078c_DNA,PD7445c,PPCG0078r_450k,450k,TB08.970_V3_T,TUM,,MATCHED,NA,7973219133_R04C01_Grn.idat,7973219133_R04C01_Red.idat,,,
UK,PPCG0083,PPCG0083a_DNA,PD7446a,PPCG0083j_EPICseq,EPICseq,CRUK_PC_0007_V02_T11_C_TUM_METH_B33_H5GCGBBXY_s_1_2_CGATGT,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0083,PPCG0083g_DNA,PD7446g,PPCG0083k_EPICseq,EPICseq,CRUK_PC_0007_V09_T03_C_BEN_METH_B33_H5GCGBBXY_s_1_2_CCGTCC,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0083,PPCG0083b_DNA,PD7446b,PPCG0083l_450k,450k,TB09.298_BLOOD,WB,,MATCHED,NA,7973219133_R03C01_Grn.idat,7973219133_R03C01_Red.idat,,,
UK,PPCG0083,PPCG0083d_DNA,PD7446d,PPCG0083m_450k,450k,TB09.298_V12_T,TUM,,MATCHED,NA,8784225047_R05C02_Grn.idat,8784225047_R05C02_Red.idat,,,
UK,PPCG0083,PPCG0083e_DNA,PD7446e,PPCG0083n_450k,450k,TB09.298_V16_T,TUM,,MATCHED,NA,8784225047_R06C02_Grn.idat,8784225047_R06C02_Red.idat,,,
UK,PPCG0083,PPCG0083f_DNA,PD7446f,PPCG0083o_450k,450k,TB09.298_V17_T,TUM,,MATCHED,NA,8784225047_R05C01_Grn.idat,8784225047_R05C01_Red.idat,,,
UK,PPCG0083,PPCG0083a_DNA,PD7446a,PPCG0083p_450k,450k,TB09.298_V2_T,TUM,,MATCHED,NA,7973219133_R05C01_Grn.idat,7973219133_R05C01_Red.idat,,,
UK,PPCG0083,PPCG0083c_DNA,PD7446c,PPCG0083q_450k,450k,TB09.298_V3_T,TUM,,MATCHED,NA,7973219133_R03C02_Grn.idat,7973219133_R03C02_Red.idat,,,
UK,PPCG0083,PPCG0083c_DNA,PD7446c,PPCG0083r_450k,450k,TB09.298_V3_T10,TUM,,NEAR-MM,NA,8784225047_R02C02_Grn.idat,8784225047_R02C02_Red.idat,,,
UK,PPCG0083,PPCG0083c_DNA,PD7446c,PPCG0083s_450k,450k,TB09.298_V3_T2,TUM,,NEAR-MM,NA,7973219133_R06C02_Grn.idat,7973219133_R06C02_Red.idat,,,
UK,PPCG0083,PPCG0083g_DNA,PD7446g,PPCG0083t_450k,450k,TB09.298_V9_B,BEN,,MATCHED,NA,8784225047_R01C01_Grn.idat,8784225047_R01C01_Red.idat,,,
UK,PPCG0084,PPCG0084e_DNA,PD7447e,PPCG0084h_EPICseq,EPICseq,CRUK_PC_0008_V02_T04_C_BEN_METH_B09_HW5V7BBXX_s_1_2_GTGAAA,BEN,NA,YES,NA,NA,NA,,,
UK,PPCG0084,PPCG0084a_DNA,PD7447a,PPCG0084i_EPICseq,EPICseq,CRUK_PC_0008_V04_T14_C_TUM_METH_B09_HW5V7BBXX_s_1_2_ACAGTG,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0084,PPCG0084b_DNA,PD7447b,PPCG0084j_450k,450k,TB09.678_BLOOD,WB,,MATCHED,NA,7973219133_R01C02_Grn.idat,7973219133_R01C02_Red.idat,,,
UK,PPCG0084,PPCG0084e_DNA,PD7447e,PPCG0084k_450k,450k,TB09.678_V2_B,BEN,,MATCHED,NA,8784225047_R04C02_Grn.idat,8784225047_R04C02_Red.idat,,,
UK,PPCG0084,PPCG0084a_DNA,PD7447a,PPCG0084l_450k,450k,TB09.678_V4_T,TUM,,MATCHED,NA,8784225047_R02C01_Grn.idat,8784225047_R02C01_Red.idat,,,
UK,PPCG0084,PPCG0084c_DNA,PD7447c,PPCG0084m_450k,450k,TB09.678_V7_T,TUM,,MATCHED,NA,7973219133_R02C01_Grn.idat,7973219133_R02C01_Red.idat,,,
UK,PPCG0084,PPCG0084b_DNA,PD7447d,PPCG0084n_450k,450k,TB09.678_V8_T,TUM,,MATCHED,NA,8784225047_R01C02_Grn.idat,8784225047_R01C02_Red.idat,,,
UK,PPCG0090,PPCG0090a_DNA,PD12806a,PPCG0090c_EPICseq,EPICseq,CRUK_PC_0023_V01_T01_L_TUM_METH_B26_H37NWBBXY_s_3_4_CAGATC,TUM,NA,YES,NA,NA,NA,,,
UK,PPCG0090,ADD,ADD,PPCG0090d_EPICseq,EPICseq,CRUK_PC_0023_V0N_T01_L_BEN_METH_B26_H37NWBBXY_s_3_4_CTTGTA,BEN,NA,UNMATCH,NA,NA,NA,,,
